,date_only,Title
0,2006-12-26,3
1,2006-12-27,1
2,2006-12-28,3
3,2006-12-29,1
4,2007-01-03,1
5,2007-01-08,2
6,2007-01-09,2
7,2007-01-10,2
8,2007-01-15,1
9,2007-01-16,3
10,2007-01-17,2
11,2007-01-18,7
12,2007-01-19,6
13,2007-01-20,1
14,2007-01-21,3
15,2007-01-22,3
16,2007-01-23,3
17,2007-01-24,2
18,2007-01-25,5
19,2007-01-26,6
20,2007-01-27,4
21,2007-01-28,1
22,2007-01-29,4
23,2007-01-30,2
24,2007-02-01,3
25,2007-02-02,4
26,2007-02-05,1
27,2007-02-06,1
28,2007-02-08,2
29,2007-02-15,1
30,2007-02-21,1
31,2007-03-15,1
32,2007-03-20,1
33,2007-07-24,1
34,2007-11-14,1
35,2007-12-07,1
36,2007-12-10,3
37,2007-12-12,1
38,2007-12-13,1
39,2007-12-14,1
40,2007-12-21,1
41,2007-12-23,1
42,2007-12-24,3
43,2008-01-08,1
44,2009-11-23,2
45,2009-11-24,2
46,2009-11-25,2
47,2009-12-01,1
48,2009-12-14,1
49,2010-08-17,1
50,2010-11-02,1
51,2010-11-04,2
52,2010-11-09,1
53,2011-01-31,2
54,2011-02-01,1
55,2011-02-08,1
56,2011-02-10,1
57,2011-07-07,1
58,2012-04-10,1
59,2012-04-16,1
60,2012-06-18,1
61,2012-11-06,1
62,2012-12-28,1
63,2013-07-11,1
64,2013-12-04,1
65,2013-12-11,1
66,2013-12-23,1
67,2014-01-21,1
68,2014-01-29,1
69,2014-02-08,1
70,2014-02-18,1
71,2014-06-17,1
72,2014-07-07,1
73,2014-11-10,1
74,2014-11-24,1
75,2014-12-03,1
76,2014-12-24,1
77,2014-12-27,2
78,2014-12-28,1
79,2014-12-29,4
80,2014-12-30,1
81,2014-12-31,2
82,2015-01-01,2
83,2015-01-03,1
84,2015-01-05,1
85,2015-01-06,3
86,2015-01-07,2
87,2015-01-08,2
88,2015-01-09,2
89,2015-01-12,5
90,2015-01-13,1
91,2015-01-14,5
92,2015-01-15,1
93,2015-01-16,2
94,2015-01-18,1
95,2015-01-21,4
96,2015-01-26,1
97,2015-01-28,1
98,2015-01-29,1
99,2015-02-02,2
100,2015-02-12,3
101,2015-03-13,1
102,2015-03-27,1
103,2015-04-08,1
104,2015-06-25,1
105,2015-08-07,1
106,2015-09-04,1
107,2015-12-17,1
108,2015-12-21,1
109,2015-12-29,1
110,2016-02-10,1
111,2016-03-01,1
112,2016-05-31,1
113,2016-11-01,1
114,2016-11-24,1
115,2017-01-05,3
116,2017-01-06,1
117,2017-01-16,1
118,2017-01-25,1
119,2017-01-27,1
120,2017-01-31,1
121,2017-02-02,1
122,2017-02-10,1
123,2017-05-06,1
124,2017-06-30,1
125,2017-07-17,1
126,2017-10-24,1
127,2017-11-02,1
128,2017-11-05,1
129,2017-12-19,1
130,2019-01-27,1
131,2019-03-05,1
132,2019-06-06,1
133,2019-07-10,1
134,2019-08-07,1
135,2019-12-02,1
136,2019-12-03,1
137,2019-12-11,2
138,2019-12-16,1
139,2019-12-21,1
140,2020-01-23,1
141,2020-02-21,1
142,2020-03-30,1
143,2020-05-06,1
144,2020-05-11,1
145,2020-05-13,1
146,2020-05-18,1
147,2020-05-25,1
148,2020-06-22,2
149,2020-07-01,1
150,2020-11-10,1
151,2020-11-26,1
152,2020-11-27,2
153,2020-12-11,1
154,2020-12-21,1
155,2021-01-03,1
156,2021-01-04,3
157,2021-01-05,4
158,2021-01-07,2
159,2021-01-08,1
160,2021-01-09,2
161,2021-01-11,1
162,2021-01-12,1
163,2021-01-13,1
164,2021-01-15,3
165,2021-01-18,1
166,2021-01-27,1
167,2021-02-01,1
168,2021-03-16,1
169,2021-03-29,1
170,2021-06-03,1
171,2021-07-12,1
172,2021-07-14,1
173,2021-07-16,1
174,2021-07-31,1
175,2021-08-17,1
176,2021-08-19,1
177,2021-08-22,1
178,2021-08-30,1
179,2021-09-06,1
180,2021-09-17,1
181,2021-09-22,1
182,2021-09-29,1
183,2021-09-30,1
184,2021-10-01,1
185,2021-10-22,1
186,2021-10-25,1
187,2021-10-28,1
188,2021-10-29,1
189,2021-11-04,1
190,2021-11-28,1
191,2021-12-08,1
192,2021-12-09,1
193,2021-12-13,1
194,2021-12-17,2
195,2021-12-20,2
196,2021-12-21,3
